Issue Date and Time,State,Plate ID,Division,Location,Location Standardized,Coordinates,Violation Description,Fine,Issuing Agency,Violation Location
01/01/2012 12:12:00 AM,PA,1089809,25,4100 N 6TH,"4100 N 6TH ST, 19140","(40.0145061532,-75.137333908)",DOUBLE PARKED,$51.00,POLICE,"(40.0145061532, -75.137333908)"
01/01/2012 12:16:00 AM,NJ,404655,63,700 CHERRY ST,,,PARKING PROHBITED CC,$51.00,POLICE,
01/01/2012 12:18:00 AM,NJ,284816,63,700 CHERRY ST,,,PARKING PROHBITED CC,$51.00,POLICE,
01/01/2012 12:20:00 AM,NJ,331788,63,700 CHERRY ST,,,PARKING PROHBITED CC,$51.00,POLICE,
01/01/2012 12:22:00 AM,NJ,345329,63,700 CHERRY ST,,,PARKING PROHBITED CC,$51.00,POLICE,
01/01/2012 12:25:00 AM,PA,1149941,63,700 CHERRY ST,,,PARKING PROHBITED CC,$51.00,POLICE,
01/01/2012 12:26:00 AM,PA,950084,15,5200 FRANKFORD AVE,"5200 FRANKFORD AVE, 19124","(40.0225861018,-75.0778333878)",PARKING PROHBITED,$41.00,POLICE,"(40.0225861018, -75.0778333878)"
01/01/2012 12:27:00 AM,PA,1109178,06,900 SPRINGG,"900 SPRING ST, 19107","(39.9559260343,-75.1549692791)",PARKING PROHBITED CC,$51.00,POLICE,"(39.9559260343, -75.1549692791)"
01/01/2012 12:30:00 AM,DE,25994,93,1500 SWAIN ST,"1500 SWAIN ST, 19130","(39.9676987073,-75.1628126362)",FIRE HYDRANT,$76.00,POLICE,"(39.9676987073, -75.1628126362)"
01/01/2012 12:43:00 AM,NJ,431816,09,1814 WAVERLY,"1814 WAVERLY ST, 19146","(39.9461134865,-75.172344543)",BLOCKING DRIVEWAY CC,$76.00,POLICE,"(39.9461134865, -75.172344543)"
01/01/2012 12:45:00 AM,PA,1100931,03,2500 ALDER,"2500 ALTER ST, 19146","(39.9396445237,-75.1861893158)",IMPROPER ON 1WAY HWY,$31.00,POLICE,"(39.9396445237, -75.1861893158)"
01/01/2012 12:52:00 AM,PA,625411,55,323 BAINBRID,"323 BAINBRIDGE ST, 19147","(39.9406663565,-75.1488352791)",UNREG/ABANDONED VEH,$301.00,POLICE,"(39.9406663565, -75.1488352791)"
01/01/2012 12:54:00 AM,PA,1066802,05,300 LECEUM,,,PARKING PROHBITED,$41.00,POLICE,
01/01/2012 12:55:00 AM,PA,504994,03,917 SHUNK,"917 SHUNK ST, 19148","(39.9171481585,-75.1632933228)",FIRE HYDRANT,$76.00,POLICE,"(39.9171481585, -75.1632933228)"
01/01/2012 01:00:00 AM,PA,1085657,25,4500 WEUYMOU,,,SIDEWALK,$51.00,POLICE,
01/01/2012 01:15:00 AM,PA,1036551,04,3800 LUDLOW,"3800 LUDLOW ST, 19104","(39.9559871513,-75.1989696649)",IMPROPER ON 1WAY HWY,$31.00,PENN,"(39.9559871513, -75.1989696649)"
01/01/2012 01:17:00 AM,PA,1606959,16,832 N 40TH ST,"832 N 40TH ST, 19104","(39.9681868087,-75.203209477)",DOUBLE PARKED,$51.00,POLICE,"(39.9681868087, -75.203209477)"
01/01/2012 01:24:00 AM,PA,1071027,33,1220 ANNIN,"1220 ANNIN ST, 19147","(39.93570573,-75.164017072)",BLOCKING DRIVEWAY,$51.00,POLICE,"(39.93570573, -75.164017072)"
01/01/2012 01:25:00 AM,PA,1600587,19,242 N 52ND ST,"242 N 52ND ST, 19139","(39.9639923572,-75.2244056297)",BLOCKING DRIVEWAY,$51.00,POLICE,"(39.9639923572, -75.2244056297)"
01/01/2012 01:30:00 AM,PA,1141692,01,2400 ORAL,,,PARKING PROHBITED,$41.00,POLICE,
01/01/2012 01:40:00 AM,PA,682068,01,1700 WOLF ST,"1700 WOLF ST, 19145","(39.9225465548,-75.1753345709)",FIRE HYDRANT,$76.00,POLICE,"(39.9225465548, -75.1753345709)"
01/01/2012 01:42:00 AM,PA,785414,09,2900 PENNSYL,"2900 PENNSYLVANIA AVE, 19130","(39.9719854405,-75.1850158631)",IMPROPER ON 1WAY HWY,$31.00,POLICE,"(39.9719854405, -75.1850158631)"
01/01/2012 01:45:00 AM,PA,1102245,14,7900 PROVIDE,,,BLOCKING DRIVEWAY,$51.00,POLICE,
01/01/2012 01:49:00 AM,PA,1088680,03,201 BAINBRID,"201 BAINBRIDGE ST, 19147","(39.9403373408,-75.1461458372)",PARKING PROHBITED CC,$51.00,POLICE,"(39.9403373408, -75.1461458372)"
01/01/2012 01:50:00 AM,PA,1122466,14,1500 VERNON,"1500 VERNON RD, 19150","(40.0746030812,-75.1657967936)",BLOCKING DRIVEWAY,$51.00,POLICE,"(40.0746030812, -75.1657967936)"
01/01/2012 01:50:00 AM,PA,1041208,14,7900 MICHENE,,,BLOCKING DRIVEWAY,$51.00,POLICE,
01/01/2012 01:51:00 AM,PA,900469,14,7200 N 19TH,"7200 N 19TH ST, 19126","(40.0641012767,-75.1474135443)",PARKING PROHBITED,$41.00,POLICE,"(40.0641012767, -75.1474135443)"
01/01/2012 01:54:00 AM,PA,503820,14,7200 N 19TH,"7200 N 19TH ST, 19126","(40.0641012767,-75.1474135443)",PARKING PROHBITED,$41.00,POLICE,"(40.0641012767, -75.1474135443)"
01/01/2012 01:57:00 AM,PA,840150,63,218 N 9TH ST,"218 N 9TH ST, 19107","(39.9555050803,-75.1542513503)",STOP PROHIBITED CC,$76.00,POLICE,"(39.9555050803, -75.1542513503)"
01/01/2012 01:58:00 AM,PA,645867,14,7200 N 19TH,"7200 N 19TH ST, 19126","(40.0641012767,-75.1474135443)",PARKING PROHBITED,$41.00,POLICE,"(40.0641012767, -75.1474135443)"
01/01/2012 02:00:00 AM,PA,1578015,07,10905 NANDIN,,,BLOCKING DRIVEWAY,$51.00,POLICE,
01/01/2012 02:00:00 AM,DE,64449,33,549 MOYAMENS,,,FIRE HYDRANT,$76.00,POLICE,
01/01/2012 02:00:00 AM,PA,974134,19,6145 LANSDOW,,,BUS ONLY ZONE,$51.00,POLICE,
01/01/2012 02:02:00 AM,PA,1104989,14,7200 N 19TH,"7200 N 19TH ST, 19126","(40.0641012767,-75.1474135443)",PARKING PROHBITED,$41.00,POLICE,"(40.0641012767, -75.1474135443)"
01/01/2012 02:03:00 AM,PA,1063698,13,2232 S 20TH,"2232 S 20TH ST, 19145","(39.9233830107,-75.1797159913)",HP RESERVED SPACE,$301.00,POLICE,"(39.9233830107, -75.1797159913)"
01/01/2012 02:05:00 AM,PA,716348,39,1700 W HUNTI,,,STOPPING PROHIBITED,$51.00,POLICE,
01/01/2012 02:16:00 AM,PA,678380,03,5TH SOUTH ST,,,EXPIRED INSPECTION,$41.00,POLICE,
01/01/2012 02:17:00 AM,PA,530254,03,6TH SOUTH ST,,,EXPIRED INSPECTION,$41.00,POLICE,
01/01/2012 02:17:00 AM,PA,591570,09,FAIRMOUNT & CA,,,CORNER CLEARANCE,$41.00,POLICE,
01/01/2012 02:24:00 AM,PA,1125977,35,6572 WOODSTO,,,DOUBLE PARKED,$51.00,POLICE,
01/01/2012 02:30:00 AM,PA,1620309,39,3354 VAUX AV,"3354 VAUX ST, 19129","(40.0123731261,-75.1863296412)",FIRE HYDRANT,$76.00,POLICE,"(40.0123731261, -75.1863296412)"
01/01/2012 02:30:00 AM,PA,1066778,17,1700,,,CORNER CLEARANCE,$51.00,POLICE,
01/01/2012 02:30:00 AM,VA,1739406,12,5800 BEAUMON,,,DOUBLE PARKED,$51.00,POLICE,
01/01/2012 02:30:00 AM,PA,1047273,19,100 N 59TH ST,"100 N 59TH ST, 19139","(39.9640526187,-75.2382955898)",DOUBLE PARKED,$51.00,POLICE,"(39.9640526187, -75.2382955898)"
01/01/2012 02:32:00 AM,PA,1041891,06,100 SPRINGGA,"100 SPRING LN, 19128","(40.0622898008,-75.2516718429)",PRIVATE PROPERTY,$26.00,POLICE,"(40.0622898008, -75.2516718429)"
01/01/2012 02:35:00 AM,PA,1089200,00,100 SPRINGGA,"100 SPRING LN, 19128","(40.0622898008,-75.2516718429)",PRIVATE PROPERTY,$26.00,POLICE,"(40.0622898008, -75.2516718429)"
01/01/2012 02:38:00 AM,DE,28566,06,100 SPRINGGA,"100 SPRING LN, 19128","(40.0622898008,-75.2516718429)",PRIVATE PROPERTY,$26.00,POLICE,"(40.0622898008, -75.2516718429)"
01/01/2012 02:41:00 AM,PA,1601410,06,1000 SPRINGG,"1000 SPRING ST, 19107","(39.956074387,-75.1563304015)",PRIVATE PROPERTY,$26.00,POLICE,"(39.956074387, -75.1563304015)"
01/01/2012 04:00:00 AM,PA,673833,09,1700 OLIVE,"1700 OLIVE ST, 19130","(39.9675791864,-75.1660601289)",PRIVATE PROPERTY,$26.00,POLICE,"(39.9675791864, -75.1660601289)"
01/01/2012 04:00:00 AM,PA,727960,09,1700 OLIVE,"1700 OLIVE ST, 19130","(39.9675791864,-75.1660601289)",PRIVATE PROPERTY,$26.00,POLICE,"(39.9675791864, -75.1660601289)"
01/01/2012 04:15:00 AM,PA,729002,00,1900 16TH ST,"1900 S 16TH ST, 19145","(39.926626144,-75.1725489223)",PARKING PROHBITED,$41.00,TEMPLE,"(39.926626144, -75.1725489223)"
01/01/2012 04:17:00 AM,PA,840123,00,1900 16TH ST,"1900 S 16TH ST, 19145","(39.926626144,-75.1725489223)",PARKING PROHBITED,$41.00,TEMPLE,"(39.926626144, -75.1725489223)"
01/01/2012 04:20:00 AM,PA,894033,00,1900 16TH ST,"1900 S 16TH ST, 19145","(39.926626144,-75.1725489223)",PARKING PROHBITED,$41.00,TEMPLE,"(39.926626144, -75.1725489223)"
01/01/2012 04:22:00 AM,PA,541540,00,1900 16TH ST,"1900 S 16TH ST, 19145","(39.926626144,-75.1725489223)",PARKING PROHBITED,$41.00,TEMPLE,"(39.926626144, -75.1725489223)"
01/01/2012 04:24:00 AM,PA,831301,00,1600 NORRS,"1600 W NORRIS ST, 19121","(39.9837272647,-75.1609331223)",CORNER CLEARANCE,$51.00,TEMPLE,"(39.9837272647, -75.1609331223)"
01/01/2012 04:26:00 AM,PA,929922,00,1900 16TH ST,"1900 S 16TH ST, 19145","(39.926626144,-75.1725489223)",CORNER CLEARANCE,$51.00,TEMPLE,"(39.926626144, -75.1725489223)"
01/01/2012 04:47:00 AM,PA,1061379,33,2124 S 4TH,"2124 S 4TH ST, 19148","(39.9216501137,-75.1535714997)",FIRE HYDRANT,$76.00,POLICE,"(39.9216501137, -75.1535714997)"
01/01/2012 04:47:00 AM,PA,810805,26,1334 SUSQUHA,,,BLOCKING DRIVEWAY,$51.00,POLICE,
01/01/2012 04:51:00 AM,PA,836293,26,1300 E SUSQU,,,FIRE HYDRANT,$76.00,POLICE,
01/01/2012 04:54:00 AM,PA,543738,26,1200 E SUSQU,,,FIRE HYDRANT,$76.00,POLICE,
01/01/2012 05:00:00 AM,PA,672194,93,1600 BROWN ST,"1600 BROWN ST, 19130","(39.9683944992,-75.1642712974)",FIRE HYDRANT,$76.00,POLICE,"(39.9683944992, -75.1642712974)"
01/01/2012 05:10:00 AM,PA,749378,93,800 N CAPITO,,,CROSSWALK,$51.00,POLICE,
01/01/2012 05:20:00 AM,PA,772888,83,3334 COMLY RD,"3334 COMLY RD, 19154","(40.0888226856,-74.9828512639)",PARKING PROHBITED,$41.00,POLICE,"(40.0888226856, -74.9828512639)"
01/01/2012 05:30:00 AM,NY,442394,93,800 N 23RD ST,"800 N 23RD ST, 19130","(39.9702657356,-75.1747549051)",FIRE HYDRANT,$76.00,POLICE,"(39.9702657356, -75.1747549051)"
01/01/2012 05:34:00 AM,PA,824594,12,6544 DICKS RD,"6544 DICKS AVE, 19142","(39.9191889987,-75.2284609968)",BLOCKING DRIVEWAY,$51.00,POLICE,"(39.9191889987, -75.2284609968)"
01/01/2012 05:45:00 AM,PA,546009,93,800 N 24TH ST,"800 N 24TH ST, 19130","(39.9704604084,-75.1763387123)",CROSSWALK,$51.00,POLICE,"(39.9704604084, -75.1763387123)"
01/01/2012 05:50:00 AM,NJ,177220,93,2400 BROWN ST,"2400 BROWN ST, 19130","(39.9699481734,-75.1767525336)",SIDEWALK,$51.00,POLICE,"(39.9699481734, -75.1767525336)"
01/01/2012 06:04:00 AM,PA,1079694,05,1500 W PAGE,"1500 PAGE ST, 19121","(39.9839699429,-75.159265704)",PARKING PROHBITED,$41.00,TEMPLE,"(39.9839699429, -75.159265704)"
01/01/2012 06:05:00 AM,PA,807951,14,100 W WASHIN,,,PARKING PROHBITED,$41.00,POLICE,
01/01/2012 06:07:00 AM,MD,120707,05,2013 N 16TH,"2013 N 16TH ST, 19121","(39.9842877818,-75.1600037459)",CORNER CLEARANCE,$51.00,TEMPLE,"(39.9842877818, -75.1600037459)"
01/01/2012 06:11:00 AM,PA,977881,05,1500 W NORRI,,,CORNER CLEARANCE,$51.00,TEMPLE,
01/01/2012 06:33:00 AM,PA,659146,77,50 DEPARTURES RD,"50 DEPARTURES RD, 19153","(39.8764123891,-75.2435941008)",STOPPING PROHIBITED,$51.00,POLICE,"(39.8764123891, -75.2435941008)"
01/01/2012 06:34:00 AM,PA,771765,05,1600 W NORRI,,,CORNER CLEARANCE,$51.00,TEMPLE,
01/01/2012 06:37:00 AM,NJ,415453,77,50 DEPARTURES RD,"50 DEPARTURES RD, 19153","(39.8764123891,-75.2435941008)",STOPPING PROHIBITED,$51.00,POLICE,"(39.8764123891, -75.2435941008)"
01/01/2012 06:45:00 AM,PA,1147664,77,50 DEPARTURES RD,"50 DEPARTURES RD, 19153","(39.8764123891,-75.2435941008)",PARKING PROHBITED,$41.00,POLICE,"(39.8764123891, -75.2435941008)"
01/01/2012 07:40:00 AM,PA,969280,00,800 N 26TH ST,"800 N 26TH ST, 19130","(39.9704837462,-75.1796104155)",BUS ONLY ZONE,$0.00,SEPTA,"(39.9704837462, -75.1796104155)"
01/01/2012 07:40:00 AM,PA,969280,00,800 N 26TH ST,"800 N 26TH ST, 19130","(39.9704837462,-75.1796104155)",BUS ONLY ZONE,$51.00,SEPTA,"(39.9704837462, -75.1796104155)"
01/01/2012 07:43:00 AM,PA,1126901,03,721 S 6TH ST,"721 S 6TH ST, 19147","(39.9405950365,-75.1526593178)",BLOCKING DRIVEWAY,$51.00,POLICE,"(39.9405950365, -75.1526593178)"
01/01/2012 08:00:00 AM,PA,918134,35,180 W OLNEY,"180 W OLNEY AVE, 19120","(40.0356366374,-75.12435942)",EXPIRED TAG,$41.00,POLICE,"(40.0356366374, -75.12435942)"
01/01/2012 08:21:00 AM,PA,810649,22,1700 N 19TH,"1700 N 19TH ST, 19121","(39.9804801622,-75.1656810688)",EXPIRED TAG,$41.00,POLICE,"(39.9804801622, -75.1656810688)"
01/01/2012 08:23:00 AM,TX,1715997,09,25TH WAVERLY,,,PARKING PROHBITED CC,$51.00,POLICE,
01/01/2012 08:25:00 AM,PA,1620199,09,25TH LOMBARD,"25 LOMBARD MEWS, 19147","(39.9432078059,-75.1558723292)",PRIVATE PROPERTY,$26.00,POLICE,"(39.9432078059, -75.1558723292)"
01/01/2012 08:26:00 AM,PA,785372,22,1700 BERKS,"1700 W BERKS ST, 19121","(39.9823788398,-75.1624388056)",BLOCKING DRIVEWAY,$51.00,POLICE,"(39.9823788398, -75.1624388056)"
01/01/2012 08:30:00 AM,PA,697240,09,400 S 25TH,"400 S 25TH ST, 19146","(39.9473721746,-75.1814961216)",SCHOOL ZONE,$36.00,POLICE,"(39.9473721746, -75.1814961216)"
01/01/2012 08:30:00 AM,PA,676152,09,400 S 25TH,"400 S 25TH ST, 19146","(39.9473721746,-75.1814961216)",SCHOOL ZONE,$36.00,POLICE,"(39.9473721746, -75.1814961216)"
01/01/2012 08:30:00 AM,TN,1711949,03,10TH MORRIS,"10 MORRIS ST, 19148","(39.9262446102,-75.1456607633)",FIRE HYDRANT,$76.00,POLICE,"(39.9262446102, -75.1456607633)"
01/01/2012 08:31:00 AM,PA,850677,02,920 OAKMONT,"920 OAKMONT ST, 19111","(40.0657125115,-75.0817433859)",BLOCKING DRIVEWAY,$51.00,POLICE,"(40.0657125115, -75.0817433859)"
01/01/2012 08:42:00 AM,PA,779266,08,10800 CALERA,"10800 CALERA RD, 19154","(40.080907315,-74.9895905271)",EXPIRED INSPECTION,$41.00,POLICE,"(40.080907315, -74.9895905271)"
01/01/2012 08:50:00 AM,PA,1048166,19,6400 JEFFERS,,,IMPROPER ON 2WAY HWY,$31.00,POLICE,
01/01/2012 08:58:00 AM,PA,946911,12,1700 S 59TH,"1700 S 59TH ST, 19143","(39.9367462935,-75.2322475888)",FIRE HYDRANT,$76.00,POLICE,"(39.9367462935, -75.2322475888)"
01/01/2012 09:00:00 AM,PA,871734,09,1634 PINE,"1634 PINE ST, 19103","(39.9461285516,-75.1696159651)",PARKING PROHBITED CC,$51.00,POLICE,"(39.9461285516, -75.1696159651)"
01/01/2012 09:00:00 AM,PA,929330,09,1928 PINE,"1928 PINE ST, 19103","(39.9466990399,-75.1742433786)",PARKING PROHBITED CC,$51.00,POLICE,"(39.9466990399, -75.1742433786)"
01/01/2012 09:00:00 AM,NJ,206001,61,400 OLIVE ST,"400 OLIVE ST, 19123","(39.9634015973,-75.1452376519)",PARKING PROHBITED CC,$51.00,POLICE,"(39.9634015973, -75.1452376519)"
01/01/2012 09:00:00 AM,PA,502640,09,1632 PINE,"1632 PINE ST, 19103","(39.9461285516,-75.1696159651)",PARKING PROHBITED CC,$51.00,POLICE,"(39.9461285516, -75.1696159651)"
01/01/2012 09:00:00 AM,PA,819027,61,400 OLIVE ST,"400 OLIVE ST, 19123","(39.9634015973,-75.1452376519)",PARKING PROHBITED CC,$51.00,POLICE,"(39.9634015973, -75.1452376519)"
01/01/2012 09:02:00 AM,PA,626034,09,1934 PINE ST,"1934 PINE ST, 19103","(39.9466990399,-75.1742433786)",PARKING PROHBITED CC,$51.00,POLICE,"(39.9466990399, -75.1742433786)"
01/01/2012 09:05:00 AM,PA,1160598,77,50 DEPARTURES RD,"50 DEPARTURES RD, 19153","(39.8764123891,-75.2435941008)",PARKING PROHBITED,$41.00,POLICE,"(39.8764123891, -75.2435941008)"
01/01/2012 09:13:00 AM,PA,636723,22,1600 MONTGOM,,,BLOCKING DRIVEWAY,$51.00,POLICE,
01/01/2012 09:15:00 AM,NJ,174993,06,200 N 3RD ST,"200 N 3RD ST, 19106","(39.9542810821,-75.1447816842)",STOP PROHIBITED CC,$76.00,POLICE,"(39.9542810821, -75.1447816842)"
01/01/2012 09:24:00 AM,PA,901499,12,6000 UPLAND,"6000 UPLAND ST, 19142","(39.9311633162,-75.2303898157)",EXPIRED INSPECTION,$41.00,POLICE,"(39.9311633162, -75.2303898157)"
01/01/2012 09:27:00 AM,PA,1061740,12,6000 REINHAR,,,EXPIRED INSPECTION,$41.00,POLICE,
01/01/2012 09:29:00 AM,CT,17693,22,1500 N 17TH,"1500 N 17TH ST, 19121","(39.9771864917,-75.1631668903)",CORNER CLEARANCE,$51.00,POLICE,"(39.9771864917, -75.1631668903)"
01/01/2012 09:30:00 AM,PA,1060860,12,6000 REGENT,"6000 REGENT ST, 19142","(39.9329211103,-75.2316292106)",EXPIRED INSPECTION,$41.00,POLICE,"(39.9329211103, -75.2316292106)"
01/01/2012 09:33:00 AM,PA,1011378,22,1700 W GIRAR,,,EXPIRED INSPECTION,$41.00,POLICE,
01/01/2012 09:33:00 AM,PA,805409,12,5900 TRINITY,"5900 TRINITY ST, 19143","(39.9347076556,-75.2313140435)",EXPIRED INSPECTION,$41.00,POLICE,"(39.9347076556, -75.2313140435)"
01/01/2012 09:36:00 AM,PA,1090865,03,1301 MCCLELL,,,HP RESERVED SPACE,$301.00,POLICE,
01/01/2012 09:36:00 AM,PA,560034,12,5800 TRINITY,"5800 TRINITY ST, 19143","(39.9357580608,-75.2298184619)",EXPIRED INSPECTION,$41.00,POLICE,"(39.9357580608, -75.2298184619)"
01/01/2012 09:37:00 AM,PA,1040491,22,1700 W GIRAR,,,EXPIRED INSPECTION,$41.00,POLICE,
01/01/2012 09:39:00 AM,PA,804281,22,1700 W GIRAR,,,EXPIRED INSPECTION,$41.00,POLICE,
01/01/2012 09:41:00 AM,PA,930092,12,5800 TRINITY,"5800 TRINITY ST, 19143","(39.9357580608,-75.2298184619)",EXPIRED INSPECTION,$41.00,POLICE,"(39.9357580608, -75.2298184619)"
01/01/2012 09:44:00 AM,PA,709835,06,1000 ARCH ST,"1000 ARCH ST, 19107","(39.9536484515,-75.1570780925)",FIRE HYDRANT,$76.00,POLICE,"(39.9536484515, -75.1570780925)"
01/01/2012 09:44:00 AM,PA,1065243,12,5800 TRINITY,"5800 TRINITY ST, 19143","(39.9357580608,-75.2298184619)",EXPIRED INSPECTION,$41.00,POLICE,"(39.9357580608, -75.2298184619)"
01/01/2012 09:44:00 AM,NC,167332,02,6901 SLYVEST,,,FIRE HYDRANT,$76.00,POLICE,
01/01/2012 09:46:00 AM,PA,964927,61,1 S 10TH,"1 S 10TH ST, 19107","(39.9512852897,-75.1567902538)",HP RESERVED SPACE,$301.00,POLICE,"(39.9512852897, -75.1567902538)"
01/01/2012 09:50:00 AM,PA,884011,77,50 DEPARTURES RD,"50 DEPARTURES RD, 19153","(39.8764123891,-75.2435941008)",STOPPING PROHIBITED,$51.00,POLICE,"(39.8764123891, -75.2435941008)"
01/01/2012 09:51:00 AM,PA,1659008,14,1993 DALLAS,"1993 DALLAS ST, 19138","(40.0631837355,-75.150971946)",EXPIRED INSPECTION,$41.00,POLICE,"(40.0631837355, -75.150971946)"
01/01/2012 09:55:00 AM,NJ,240732,05,137 GRAPE ST,"137 GRAPE ST, 19127","(40.0263707202,-75.2222229215)",BLOCKING DRIVEWAY,$51.00,POLICE,"(40.0263707202, -75.2222229215)"
01/01/2012 09:55:00 AM,PA,1127281,24,3849 ELSINOR,,,SIDEWALK,$51.00,POLICE,
01/01/2012 09:57:00 AM,PA,1244163,05,137 GRAPE ST,"137 GRAPE ST, 19127","(40.0263707202,-75.2222229215)",BLOCKING DRIVEWAY,$51.00,POLICE,"(40.0263707202, -75.2222229215)"
01/01/2012 09:58:00 AM,PA,854901,26,1127 N 4TH,"1127 N 4TH ST, 19123","(39.9686253759,-75.1433802029)",BLOCKING DRIVEWAY,$51.00,POLICE,"(39.9686253759, -75.1433802029)"
01/01/2012 09:59:00 AM,PA,963259,14,5200 WAKEFIE,,,EXPIRED INSPECTION,$41.00,POLICE,
01/01/2012 10:00:00 AM,PA,1155115,16,5019 PINE ST,"5019 PINE ST, 19143","(39.953163592,-75.2232621933)",BLOCKING DRIVEWAY,$51.00,POLICE,"(39.953163592, -75.2232621933)"
01/01/2012 10:00:00 AM,PA,673902,15,7200 LEON ST,"7200 LEON ST, 19149","(40.0365222985,-75.0441932546)",IMPROPER ON 1WAY HWY,$31.00,POLICE,"(40.0365222985, -75.0441932546)"
01/01/2012 10:01:00 AM,PA,659792,14,1962 DALLAS,"1962 DALLAS ST, 19138","(40.0631332698,-75.1500322418)",EXPIRED INSPECTION,$41.00,POLICE,"(40.0631332698, -75.1500322418)"
01/01/2012 10:05:00 AM,PA,902568,05,124 COTTON ST,"124 COTTON ST, 19127","(40.0259651532,-75.2216364493)",HP RESERVED SPACE,$301.00,POLICE,"(40.0259651532, -75.2216364493)"
01/01/2012 10:07:00 AM,PA,886582,05,124 COTTON ST,"124 COTTON ST, 19127","(40.0259651532,-75.2216364493)",HP RESERVED SPACE,$301.00,POLICE,"(40.0259651532, -75.2216364493)"
01/01/2012 10:08:00 AM,PA,882705,05,124 COTTON ST,"124 COTTON ST, 19127","(40.0259651532,-75.2216364493)",HP RESERVED SPACE,$301.00,POLICE,"(40.0259651532, -75.2216364493)"
01/01/2012 10:09:00 AM,PA,886334,05,124 COTTON ST,"124 COTTON ST, 19127","(40.0259651532,-75.2216364493)",HP RESERVED SPACE,$301.00,POLICE,"(40.0259651532, -75.2216364493)"
01/01/2012 10:10:00 AM,PA,1024130,17,1600 S 17TH,"1600 S 17TH ST, 19145","(39.9308961512,-75.1732400895)",BUS ONLY ZONE,$51.00,POLICE,"(39.9308961512, -75.1732400895)"
01/01/2012 10:12:00 AM,PA,843479,61,200 S 12TH ST,"200 S 12TH ST, 19107","(39.9486843792,-75.1605802714)",PARKING PROHBITED CC,$51.00,POLICE,"(39.9486843792, -75.1605802714)"
01/01/2012 10:15:00 AM,PA,851160,17,1600 S 17TH,"1600 S 17TH ST, 19145","(39.9308961512,-75.1732400895)",BUS ONLY ZONE,$51.00,POLICE,"(39.9308961512, -75.1732400895)"
01/01/2012 10:19:00 AM,PA,1114260,17,7700 MORRIS,,,BUS ONLY ZONE,$51.00,POLICE,
01/01/2012 10:20:00 AM,PA,1665140,02,400 LONGSHOR,,,COMMRCL VEH RES AREA,$101.00,POLICE,
01/01/2012 10:20:00 AM,PA,1606223,02,400 LONGSHOR,,,EXPIRED TAG,$41.00,POLICE,
01/01/2012 10:20:00 AM,PA,1057866,05,338 DELMAR ST,"338 DELMAR ST, 19128","(40.0371714359,-75.2266654308)",BLOCKING DRIVEWAY,$51.00,POLICE,"(40.0371714359, -75.2266654308)"
01/01/2012 10:20:00 AM,NJ,381885,02,400 LONGSHOR,,,COMMRCL VEH RES AREA,$101.00,POLICE,
01/01/2012 10:20:00 AM,PA,1611077,02,400 LONGSHOR,,,DISPLAY VEH FOR SALE,$301.00,POLICE,
01/01/2012 10:25:00 AM,PA,565944,03,12TH WHARTON,,,FIRE HYDRANT,$76.00,POLICE,
01/01/2012 10:35:00 AM,PA,968673,35,6800 VERBENA,"6800 VERBENA AVE, 19126","(40.0562044994,-75.1313301094)",IMPROPER ON 2WAY HWY,$31.00,POLICE,"(40.0562044994, -75.1313301094)"
